Size, Proteins
2,405869,405867
2,403535,403533
2,402962,402905
2,402847,402846
2,402868,402831
2,400606,400605
2,398144,398143
2,397887,397886
2,397921,397843
2,397822,397794
2,397878,397779
2,396952,396934
2,396931,396884
2,396955,396870
2,396885,396807
2,396842,396806
2,396954,396705
2,396703,396702
2,396864,396700
2,396877,396697
2,396658,396448
2,396408,396407
2,396678,396297
2,396545,396255
2,396588,396176
2,394172,394171
2,391667,391666
2,391815,391663
2,390646,389972
2,385782,385484
2,385008,385007
2,384926,384925
2,384930,384849
2,384835,384832
2,381336,381334
2,381333,381295
2,381326,381240
2,381216,381160
2,381128,381121
2,381055,381050
2,380956,380954
2,380289,380164
2,379998,379906
2,379355,379062
2,379361,379060
2,379122,379049
2,378899,378883
2,378997,378794
2,378597,378596
2,378586,378581
2,378568,378567
2,378461,378460
2,378416,378415
2,378457,378410
2,378614,378356
2,378337,378204
2,378328,378129
2,378095,378088
2,378277,378079
2,378211,378018
2,378166,378007
2,378122,377999
2,378281,377975
2,378262,377968
2,378203,377955
2,376305,376304
2,376234,376149
2,376069,376068
2,376111,376052
2,376016,375993
2,375957,375954
2,375956,375953
2,375949,375943
2,375940,375885
2,375812,375806
2,375734,375733
2,376089,375724
2,375861,375722
2,375982,375704
2,376416,375641
2,376054,375617
2,376292,375612
2,375966,375578
2,375721,375549
2,375473,375471
2,375429,375293
2,376293,375263
2,375233,375229
2,375198,375190
2,376170,375177
2,376275,375175
2,376411,375117
2,375303,375087
2,375058,375057
2,375489,375040
2,374905,374900
2,374805,374770
2,373774,373744
2,373682,373669
2,373675,373668
2,373660,373644
2,373663,373626
2,373636,373622
2,373608,373607
2,373605,373604
2,373619,373601
2,373731,373577
2,373546,373542
2,373535,373534
2,373841,373447
2,373554,373425
2,373775,373418
2,373565,373409
2,373202,373201
2,372976,372974
2,372622,372618
2,372065,371898
2,372060,371775
2,371852,371753
2,372055,371745
2,369120,369062
2,368532,368529
2,367430,367428
2,367484,367393
2,367361,367339
2,367455,367332
2,367409,367308
2,367238,367237
2,361479,361472
2,361397,361396
2,361364,361363
2,361230,361229
2,361480,361218
2,361422,361214
2,361433,361206
2,361518,361196
2,361439,361155
2,361190,361150
2,359737,359726
2,359707,359706
2,359684,359683
2,359677,359676
2,353098,353090
2,352951,352950
2,352954,352895
2,350451,350433
2,350429,350423
2,350389,350386
2,349373,349367
2,342283,342282
2,342284,342276
2,342265,342244
2,336213,336119
2,336197,336044
2,336048,336026
2,336312,336002
2,336345,335979
2,336255,335949
2,336085,335906
2,335852,335640
2,335848,335636
2,334580,334371
2,332853,332540
2,332941,332496
2,331165,331092
2,330101,329952
2,329893,329892
2,329823,329817
2,329794,329634
2,329624,329623
2,329910,329562
2,328689,328688
2,328068,328067
2,327990,327989
2,327467,327432
2,327464,327414
2,327064,327063
2,326859,326858
2,326728,326700
2,319609,319608
2,319578,319577
2,319628,319544
2,319603,319539
