Size, Proteins
2,"Predicted in CGMaac:PL682","Predicted in CGMaac:AACI_RS03525"
2,"Hypothetical proteinabu:ABU_RS08340","DNA-binding proteinabu:ABU_RS08390"
2,"Hypothetical proteinabw:BL01_RS07420","Predicted in CGMabw:BL01_RS02445"
2,"Hypothetical proteingm03695:LX00_RS03950","Hypothetical proteingm03695:LX00_RS03935"
2,"Signal peptide proteinabw:BL01_RS16545","Signal peptide proteinabw:BL01_RS16375"
2,"Hypothetical proteinaeq:AEQU_RS11545","Hypothetical proteinaeq:AEQU_RS11550"
2,"Hypothetical proteinafu:AF0069","Hypothetical proteinafu:AF0070"
2,"Pilus assembly protein FlpJahr:V428_RS08140","Pilus assembly protein FlpKahr:V428_RS08145"
2,"Hypothetical proteingm03708:VU14_RS19285","Hypothetical proteingm03708:VU14_RS11285"
2,"Hypothetical proteingm03708:VU14_RS06635","Hypothetical proteingm03708:VU14_RS02940"
2,"Hypothetical proteingm03708:VU14_RS14740","ATP synthase F0 subunit Igm03708:VU14_RS00130"
2,"Hypothetical proteinamac:MASE_RS01005","Hypothetical proteinamac:MASE_RS01745"
2,"Hypothetical proteinamaa:AMAD1_RS02490","Hypothetical proteinamaa:AMAD1_RS07360"
2,"Hypothetical proteinamac:MASE_RS00910","Purine nucleoside permeaseamac:MASE_RS07205(2)"
2,"Hypothetical proteinamaa:AMAD1_RS07220","Hypothetical proteinamaa:AMAD1_RS12920"
2,"Hypothetical proteinamaa:AMAD1_RS12455","Hypothetical proteinamaa:AMAD1_RS12445"
2,"Hypothetical proteinamaa:AMAD1_RS01155","Hypothetical proteinamaa:AMAD1_RS17155"
2,"Hypothetical proteinamc:MADE_RS18015","Hypothetical proteinamc:MADE_RS18020"
2,"Hypothetical proteinaal:EP13_RS08040","Hypothetical proteinaal:EP13_RS16945"
2,"Hypothetical proteinamag:I533_RS13400","Hypothetical proteinamag:I533_RS17915"
2,"Serine/threonine protein kinaseaja:AJAP_RS37115","Hypothetical proteinaja:AJAP_RS31765"
2,"Hypothetical proteinamz:B737_RS23585","Hypothetical proteinamz:B737_RS23590"
